slug,agency,ret_2024
sarpy-county-ne-so,Sarpy County NE SO,30
sc-college-of-charleston-department-of-public-safety,SC - College of Charleston Department of Public Safety,-Infinity
scottsbluff-ne-pd,Scottsbluff NE PD,30
seaside-ca-pd,Seaside CA PD,30
seelyville-in-pd,Seelyville IN PD,30
sequoias-community-college-district-ca-pd,Sequoias Community College District CA PD,30
sharpsburg-nc-pd,Sharpsburg NC PD,30
sheffield-village-oh-pd,Sheffield Village OH PD,30
shelby-county-in-so,Shelby County IN SO,30
shelby-county-tn-so,Shelby County TN SO,30
shrewsbury-mo-pd,Shrewsbury MO PD,30
simi-valley-ca-pd,Simi Valley CA PD,30
smithfield-ri-pd,Smithfield RI PD,30
south-san-francisco-ca-pd,South San Francisco CA PD,30
springdale-oh-pd,Springdale OH PD,30
springfield-il-pd,Springfield IL PD,30
st-helena-ca-pd,St. Helena CA PD,30
st-joseph-mo-pd,St. Joseph MO PD,30
st-louis-county-mn-so,St. Louis County MN SO,30
st-pauls-nc-pd,St Pauls NC PD,30
sterling-heights-mi-pd,Sterling Heights MI PD,30
sumpter-twp-mi-pd,Sumpter Twp MI PD,30
surfside-beach-sc-pd,Surfside Beach SC PD,30
sylvania-oh-pd,Sylvania OH PD,30
tabor-city-nc-pd,Tabor City NC PD,30
temple-ga-pd,Temple GA PD,30
thomasville-ga-pd,Thomasville GA PD,30
tipp-city-oh-pd,Tipp City OH PD,30
town-of-connelley-springs-nc,Town of Connelly Springs/Burke Co SO (BCSO) NC,30
town-of-woodside-ca-smcso,Town of Woodside CA (SMCSO),60
tracy-ca-pd,Tracy CA PD,30
trophy-club-tx-pd,Trophy Club TX PD,30
trotwood-oh-pd,Trotwood OH PD,30
troy-mi-pd-,Troy MI PD,30
truckee-ca-pd,Truckee CA PD,30
tukwila-wa-pd,Tukwila WA PD,30
tulsa-ok-pd,Tulsa OK PD,30
ukiah-pd-ca,Ukiah CA PD,30
union-city-ca-pd,Union City CA PD,30
university-of-iowa-pd-ia,University of Iowa PD (IA),30
university-of-louisiana-at-lafayette-pd,University of Louisiana at Lafayette PD,30
upland-ca-pd-,Upland CA PD,30
urbandale-ia-pd,Urbandale IA PD,30
vacaville-ca-pd,Vacaville CA PD,30
vallejo-ca-pd,Vallejo CA PD,30
vernon-hills-il-pd,Vernon Hills IL PD,30
village-of-bloomingdale-il-pd,Village of Bloomingdale IL PD,30
wadsworth-oh-pd,Wadsworth OH PD,30
warren-county-oh-so,Warren County OH SO,30
warrick-co-in-so,Warrick County IN SO,30
warsaw-nc-pd,Warsaw NC PD,NA
warwick-ri-pd,Warwick RI PD,30
watsonville-ca-pd,Watsonville CA PD,30
waxhaw-nc-pd,Waxhaw NC PD,30
wayzata-mn-pd,Wayzata MN PD,30
webster-groves-mo-pd,Webster Groves MO PD,30
wellington-ks-pd,Wellington KS PD,30
wells-county-in-so,Wells County IN SO,30
wentzville-mo-pd,Wentzville MO PD,30
west-covina-ca-pd,West Covina CA PD,30
west-des-moines-ia-pd,West Des Moines IA PD,30
west-lafayette-in-pd,West Lafayette IN PD,30
west-milton-oh-pd,West Milton OH PD,30
westerville-oh-pd,Westerville OH PD,30
westminster-ca-pd,Westminster CA PD,30
whitehall-oh-pd,Whitehall OH PD,30
whiteville-nc-pd,Whiteville NC PD,30
wichita-ks-pd,Wichita KS PD,30
wolverine-lake-mi-pd,Wolverine Lake MI PD,30
woodstock-ga-pd,Woodstock GA PD,30
woodstock-va-pd,Woodstock VA PD,30
woonsocket-ri-pd,Woonsocket RI PD,30
worthington-oh-pd,Worthington OH PD,30
wright-city-mo-pd,Wright City MO PD,30
wytheville-va-pd,Wytheville VA PD,30
yakima-wa-pd,Yakima WA PD,30
yuba-county-ca-so,Yuba County Sheriffs Office,NA
