slug,state,type,total_cameras,data_retention_days,organization_count,receiving_organization_count,public_search_audit,data_last_updated,source
belmont-ca-pd,CA,PD,10,30,17,,True,2026-08-26T15:23:51.030Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
belmont-nc-pd,NC,PD,,30,,,False,2026-08-26T14:39:35.452Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
belvedere-ca-pd,CA,PD,6,30,7,,False,2026-08-26T15:43:01.380Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
benicia-ca-pd,CA,PD,50,30,75,,True,2026-08-26T22:17:30.939Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
berkeley-ca-pd,CA,PD,52,30,47,,False,2026-08-26T12:00:44.850Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
berlin-ct-pd,CT,PD,12,30,,,True,2026-08-26T21:54:11.820Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
berwyn-il-pd,IL,PD,35,90,34,584,True,2026-08-26T22:54:57.384Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bessemer-city-nc-pd,NC,PD,9,30,1835,,True,2026-08-26T12:28:51.030Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bettendorf-ia-pd,IA,PD,61,30,,,True,2026-08-26T16:48:21.118Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
beverly-hills-ca-pd,CA,PD,118,365,308,,False,2026-08-26T10:07:57.719Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
beverly-ma-pd,MA,PD,4,30,101,,True,2026-08-26T08:34:34.847Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bexar-county-tx-so,TX,SD,35,30,,,False,2026-08-26T16:27:36.436Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bibb-county-so-ga,GA,SD,152,30,1231,,True,2026-08-26T19:39:16.203Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
blaine-mn-pd,MN,PD,31,30,71,,False,2026-08-26T13:10:21.714Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
blairsville-ga-pd,GA,PD,2,30,343,,True,2026-08-26T16:01:37.524Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
blue-ash-oh-pd,OH,PD,44,30,,,False,2026-08-26T23:35:00.915Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
blue-island-il-pd,IL,PD,14,30,421,,True,2026-08-26T15:45:02.710Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
blue-springs-mo-pd,MO,PD,164,30,1597,857,True,2026-08-26T16:57:14.009Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bluefield-va-pd,VA,PD,,21,61,165,False,2026-08-26T19:23:07.549Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bluffton-in-pd,IN,PD,4,30,,,False,2026-08-26T12:10:03.714Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
boardman-township-oh-pd,OH,PD,28,30,1794,,True,2026-08-26T10:22:30.296Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bonney-lake-wa-pd,WA,PD,22,21,,,True,2026-08-26T18:53:04.118Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
boone-nc-pd,NC,PD,3,30,40,,False,2026-08-26T19:57:53.796Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
boonsboro-md-pd,MD,PD,14,30,0,,True,2026-08-26T08:45:57.031Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
boston-heights-oh-pd,OH,PD,8,30,442,,True,2026-08-27T00:25:24.677Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
boulder-co-pd,CO,PD,31,30,87,,False,2026-08-26T10:14:10.869Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bourbonnais-il-pd,IL,PD,12,30,1345,1325,True,2026-08-26T18:06:44.994Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bratenahl-oh-pd,OH,PD,10,30,,,False,2026-08-26T19:31:27.605Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
brawley-ca-pd,CA,PD,41,30,323,,True,2026-08-26T12:00:13.987Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bridgewater-va-pd,VA,PD,5,21,0,,False,2026-08-26T15:46:04.807Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
brimfield-township-oh-pd,OH,PD,4,30,,,False,2026-08-26T10:11:02.945Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
